x,y,z,yaw,V,a
21942.92938,52012.61808,257.9,1.493845551,60.61037934447892,1.0102059001808559
21943.30085,52017.43591,257.9,1.49611574,60.69086402268982,1.003508433428763
21943.66139,52022.25484,257.9,1.495311686,60.77071400891696,1.0048493170296804
21944.02595,52027.07518,257.9,1.488574172,60.85059389655671,0.9815128738508764
21944.42208,52031.88212,257.9,1.490440609,60.92834242858096,0.9753225413468318
21944.81205,52036.72476,257.9,1.502073283,61.00606332321596,0.9763302581349012
21945.14363,52041.54201,257.9,1.493653824,61.08329127319488,0.8835734066991634
21945.51526,52046.34991,257.9,1.488902065,61.15300549550385,0.8561499655169127
21945.9122,52051.18599,257.9,1.496053469,61.22090123037913,0.8570302636382341
21946.27433,52056.02205,257.9,1.504588051,61.288753082320845,0.14916468598400365
21946.59384,52060.84082,257.9,1.487284083,61.3005056392896,-0.061564600826139286
21946.9956,52065.64051,257.9,1.491655229,61.295668222663856,-0.06155829895910772
21947.37879,52070.47221,257.9,1.494080359,61.29080039110622,-1.6799840162853916
21947.74968,52075.29725,257.9,1.495726124,61.15801180134348,-2.165531646198334
21948.11144,52080.10717,257.9,1.491939134,60.9869781342605,-2.1596201509414255
21948.49269,52084.9319,257.9,1.495224348,60.81535475055861,-3.955556908162275
21948.85687,52089.74159,257.9,1.485375399,60.50081363039517,-4.486822043944806
21949.26886,52094.55298,257.9,1.484693391,60.14162245828231,-4.460115846362087
21949.68606,52099.38629,257.9,1.492751457,59.78076771392442,-5.714425480779429
21950.06393,52104.21826,257.9,1.497264856,59.31566166189186,-6.061302656247509
21950.41774,52109.02121,257.9,1.494504974,58.82147300431128,-6.010900941199764
21950.78474,52113.82238,257.9,1.484377146,58.327339999589945,-6.597606790220829
21951.20425,52118.6646,257.9,1.493396794,57.77495240229577,-6.735874723836062
21951.57806,52123.4846,257.9,1.487046378,57.2085335376801,-6.670139089461405
21951.9799,52128.27151,256.9319442,1.493453244,56.64567937390149,-6.887663555707797
21952.35365,52133.09422,255.9502735,1.490386157,56.05443231751156,-6.907414203442075
21952.74247,52137.91912,254.9497928,1.477559668,55.45473950585309,-6.833563287101128
21953.19376,52142.74542,253.9409014,1.486489846,54.85415884035616,-6.96457694356612
21953.60139,52147.56907,252.9164461,1.481240292,54.236057140481314,-6.951134915421495
