x,y,z,yaw,V,a,dist,time
22003.79339,52663.09618,252.2609747,1.483718902,1.0,0.0,941.4555791257409,941.4555791257409
22004.21198,52667.89097,252.5969526,1.48349684,1.0,0.0,946.2686061080256,946.2686061080256
22004.63402,52672.71314,252.9294716,1.483496688,1.0,0.0,951.1092095074475,951.1092095074475
22005.05694,52677.54533,253.2602612,1.48343473,1.0,0.0,955.9598714749018,955.9598714749018
22005.47432,52682.31072,253.5861936,1.467747761,1.0,0.0,960.7435048133284,960.7435048133284
22005.96743,52687.07898,253.9097132,1.467721367,1.0,0.0,965.5371945091339,965.5371945091339
22006.45863,52691.82751,254.2333944,1.440281713,1.0,0.0,970.3110623959676,970.3110623959676
22007.07861,52696.55079,254.5535312,1.435251615,1.0,0.0,975.0748580631624,975.0748580631624
22007.72481,52701.28905,254.8758939,1.41690927,1.0,0.0,979.8569791686534,979.8569791686534
22008.45814,52706.01672,255.1986269,1.413002298,1.0,0.0,984.6411861580929,984.6411861580929
22009.20503,52710.71069,255.5200968,1.37912636,1.0,0.0,989.3942061488993,989.3942061488993
22010.1064,52715.35569,255.8374242,1.364845829,1.0,0.0,994.1258541574551,994.1258541574551
22011.07967,52720.01439,256.156724,1.344611227,1.0,0.0,998.8851335338835,998.8851335338835
22012.15315,52724.67924,256.4727949,1.34389742,1.0,0.0,1003.6719053931753,1003.6719053931753
22013.21973,52729.29898,256.7909513,1.300823838,1.0,0.0,1008.4131700518948,1008.4131700518948
22014.48417,52733.86822,257.1049066,1.300749129,1.0,0.0,1013.1541364819775,1013.1541364819775
22015.75649,52738.46461,257.4222991,1.271528784,1.0,0.0,1017.923371139085,1017.923371139085
22017.14128,52742.95288,257.7406061,1.235057849,1.0,0.0,1022.6204139254506,1022.6204139254506
22018.70172,52747.42471,257.9,1.226771649,1.0,0.0,1027.3566821339164,1027.3566821339164
22020.32575,52751.95768,257.9,1.226772346,1.0,0.0,1032.1717927724997,1032.1717927724997
22021.95128,52756.49482,257.9,1.220618173,1.0,0.0,1036.9913349873275,1036.9913349873275
22023.58547,52760.96924,257.9,1.19556983,1.0,0.0,1041.7548432840024,1041.7548432840024
22025.32261,52765.37945,257.9,1.176386897,1.0,0.0,1046.4948440881908,1046.4948440881908
22027.14873,52769.7669,257.9,1.157420528,1.0,0.0,1051.2471521334382,1051.2471521334382
22029.06205,52774.12871,257.9,1.143764364,1.0,0.0,1056.0101532775127,1056.0101532775127
22031.04037,52778.47635,257.9,1.131278743,1.0,0.0,1060.7867340202608,1060.7867340202608
22033.07692,52782.80766,257.9,1.122409115,1.0,0.0,1065.5729415187523,1065.5729415187523
22035.14209,52787.10057,257.9,1.098975462,1.0,0.0,1070.336763870293,1070.336763870293
22037.28231,52791.29493,257.9,1.064323423,1.0,0.0,1075.0456063456727,1075.0456063456727
22039.59286,52795.46006,257.9,1.064325505,1.0,0.0,1079.8086882491696,1079.8086882491696
22041.93174,52799.67627,257.9,1.058862079,1.0,0.0,1084.630180385277,1084.630180385277
22044.25631,52803.81326,257.9,1.024409639,1.0,0.0,1089.375526731435,1089.375526731435
22046.71611,52807.858,257.9,1.011663161,1.0,0.0,1094.109503675568,1094.109503675568
22049.24246,52811.89537,257.9,0.99142542,1.0,0.0,1098.8721500869012,1098.8721500869012
22051.84872,52815.87884,257.9,0.977599884,1.0,0.0,1103.6324677683692,1103.6324677683692
22054.51243,52819.82979,257.9,0.959563369,1.0,0.0,1108.3974816053512,1108.3974816053512
22057.25106,52823.7379,257.9,0.949392414,1.0,0.0,1113.169631859584,1113.169631859584
22060.0288,52827.61727,257.9,0.930945762,1.0,0.0,1117.9409368283032,1117.9409368283032
22062.85818,52831.41861,257.9,0.904460099,1.0,0.0,1122.679668407532,1122.679668407532
22065.8099,52835.17249,257.9,0.904457067,1.0,0.0,1127.4550496501952,1127.4550496501952
22068.75389,52838.91654,257.9,0.87165178,1.0,0.0,1132.2179256219802,1132.2179256219802
22071.81732,52842.55989,257.9,0.870178201,1.0,0.0,1136.9780309346154,1136.9780309346154
22074.88775,52846.20066,257.9,0.83867903,1.0,0.0,1141.7406716493724,1141.7406716493724
22078.05534,52849.72515,257.9,0.825451407,1.0,0.0,1146.4794115840127,1146.4794115840127
